順位,セレクトブクマ（タイトル、URL）,ブクマ順（タイトル、URL）,Google（タイトル、URL）,
1,Javaの道（Java入門・リファレンス）,Java のクラスアンロード (Class Unloading),java.com: あなたと Java,
2,Javaの学習ならJavaDrive,Javaの道（Java入門・リファレンス）,無料 Java ソフトウェアをダウンロード - Sun Microsystems,
3,Java技術最前線：ITpro,頑健なJavaプログラムの書き方(Writing Robust Java Code),Java - Wikipedia,
4,浅煎り珈琲 -Java アプリケーション入門,Java技術最前線：ITpro,Javaテクノロジ - サン・マイクロシステムズ,
5,頑健なJavaプログラムの書き方(Writing Robust Java Code),Javaの学習ならJavaDrive,サン・マイクロシステムズ,
6,Java House ML,浅煎り珈琲 -Java アプリケーション入門,Javaとは - 意味/解説/説明/定義 ： IT用語辞典,
7,JavaでHello World,JavaでHello World,日本 Java ユーザグループ,
8,Java 2 Platform SE 5.0,Java 2 Platform SE 5.0,Javaとは - はてなキーワード,
9,Java in the Box,【レポート】Java初学者には最適!? 解説から実行までブラウザでコンプリート - Javala (MYCOMジャーナル),Sun Developer Connection - Java Developer Connection,
10,Log4J徹底解説〜目次,Java House ML,Javaの道（Java入門・リファレンス）,
11,Java News,プログラマの思索: RubyよりもJavaが好きな理由,JAVA 動物実験の廃止を求める会,
12,初心者がJavaを“超高速”で学ぶためのコツ：ITpro,Javaの性能を分析する10のツール | エンタープライズ | マイコミジャーナル,Java Solution － ＠IT,
13,J2SE 5.0 虎の穴 Java2 SE v5.0 Tiger の新機能,Java in the Box,JavaでHello World,
14,概要 (Java 2 プラットフォーム SE v1.4.0),Java におけるコード進化パターン (Code Evolution Patterns in Java),とほほのJava入門,
15,【レポート】Wicket入門 - JavaとHTMLだけで作るWebアプリケーション (1) Wicketとは? | エンタープライズ | マイコミジャーナル,【ハウツー】クラス構造がまる見えに! UDocでJavaをダイナミックに分析する (1) JavaDoc、バイナリファイル、ソースコードからクラス図を生成 (MYCOMジャーナル),Java Group ジャヴァグループ,
16,Javaでゲーム作りますが何か？,Log4J徹底解説?目次,"Java 2 Platform, Standard Edition, v 1.4.2 (J2SE) のダウンロード",
17,Archive: Java[tm] Technology Products Download,Super Csv - A super CSV reader/writer...,IBM developerWorks Japan : Resources for Java developers,
18,Eclipseではじめるプログラミング,【レビュー】絶対使うべき! FindBugsでBug退治 (1) FindBugsとは (MYCOMジャーナル),Java 2 プラットフォーム SE v1.4.0,
19,Java のクラスアンロード (Class Unloading),C/C いっさいなし、Javaだけで開発されたOS - JNode (MYCOM PC WEB),Java -TECHSCORE-,
20,MYCOMジャーナル - エンタープライズ - コラム - ライトニングJava,【ハウツー】JavaだってRubyに負けちゃいない - JavaでもRails クイックスタートGrails (MYCOMジャーナル),Javaアプレット - Wikipedia,
21,Ja-Jakarta Project,http://journal.mycom.co.jp/news/2008/01/22/024/index.html,Java FAQ: よくある質問とその回答集,
22,JavaA2Z,初心者がJavaを“超高速”で学ぶためのコツ：ITpro,Java News (Javaに関する最新ニュース),
23,JavaWorld Online - 最先端Javaテクノロジーの実践活用誌,Java News,Java in the Box,
24,Click Framework,InfoQ: ディベート: 何故ほとんどの大規模webサイトはJavaで構築されないのか？,Microsoft Java Virtual Machine (MSJVM) サポート,
25,JavaをJavaScriptに変換するグーグルのツールを使ってみよう ? ＠IT,【ハウツー】Java WebアプリでもわかりやすいURLを! - Url Rewrite Filterの使い心地 (1) わかりやすいURLの重要性 | エンタープライズ | マイコミジャーナル,Java SE ダウンロード - Previous Release - JDK 5,
26,TECHSCORE(テックスコア) ?C言語/JAVA/デザインパターン/CORBA/XML/SQL/UMLを基礎から丁寧に解説します?,J2SE 5.0 虎の穴 Java2 SE v5.0 Tiger の新機能,IAjapan Java(TM) 研究部会,
27,Java入門,James君！,Java,
28,Java Solution ? ＠IT,概要 (Java 2 プラットフォーム SE v1.4.0),Java Tips,
29,Restlet - Lightweight REST framework for Java,ITmedia エンタープライズ：矛盾を抱えつつ進化する“Java”??黒船となったRuby on Rails (1/2),窓の杜 - Java Runtime Environment (JRE),
30,＠IT：Hibernateで理解するO/Rマッピング（1）,Java Mozilla Html Parser登場、ブラウザと同じクオリティを実現 | エンタープライズ | マイコミジャーナル,FreeBSD Java™ Project,
